project,dataset,n_tables,total_bytes
cwts-leiden,leiden_ranking_open_edition_2023,14,11708937784
cwts-leiden,leiden_ranking_open_edition_2024,14,13956542932
cwts-leiden,leiden_ranking_open_edition_2025,14,26070650294
cwts-leiden,openalex_2023nov,68,695639018677
cwts-leiden,openalex_2023nov_classification,17,2269230846
cwts-leiden,openalex_2023nov_core,2,2152722438
cwts-leiden,openalex_2024aug,88,781965403534
cwts-leiden,openalex_2024aug_core,2,2262621927
cwts-leiden,openalex_2025aug,88,790039355342
cwts-leiden,openalex_2025aug_core,2,2365164969
insyspo,projectdb_ciaam,45,9518743211
insyspo,projectdb_cwts_summer_school_2023,1,76542945728
insyspo,projectdb_scielo_relational_model,10,5063766548
insyspo,publicdb_capes_ppg,10,92359046
insyspo,publicdb_cwts_openalex_areas,11,3949964954
insyspo,publicdb_eurekalert,3,933038496
insyspo,publicdb_eurekalert_2025,8,1627466344
insyspo,publicdb_openaire_rm,9,1679418930521
insyspo,publicdb_openalex_2025_03_rm,75,796614259739
insyspo,publicdb_openalex_2025_08_rm,75,814718682521
insyspo,publicdb_redalyc_2024_08,1,2295087843
insyspo,publicdb_reliance_on_science,7,11940053607
insyspo,publicdb_scielo_2024_rm,13,11246623689
insyspo,publicdb_scielo_relational_model,10,9311092901
insyspo,publicdb_wikipedia_knowledge_graph,9,27026791353
multiobs,publicdb_fapesp_bv,1,486874269
multiobs,publicdb_openalex_2026_01_rm,76,1398688921796
sos-datasources,butler_apcs,2,11413543
sos-datasources,crossref,6,625644792425
sos-datasources,datacite,1,320591552879
sos-datasources,doaj,2,46124645
sos-datasources,goa,7,31942091
sos-datasources,openaire,18,1405736885722
sos-datasources,openapc,1,58059561
sos-datasources,opencitations,1,51616399524
sos-datasources,pkp,2,47834685
sos-datasources,ror,1,52082975
sos-datasources,truthtables,3,282495150572
subugoe-collaborative,cr_history,7,837471991946
subugoe-collaborative,cr_instant,1,665285078648
subugoe-collaborative,hoaddata,24,24918124280
subugoe-collaborative,oa2020,5,4856648003
subugoe-collaborative,openalex,7,1199056886045
subugoe-collaborative,openalex_walden,8,2097050590937
subugoe-collaborative,openbib,16,10508581721
subugoe-collaborative,resources,27,132161774147
subugoe-collaborative,semantic_scholar,4,215413012012
subugoe-collaborative,upw_history,5,74035873362
subugoe-collaborative,upw_instant,1,28699639728
